frame_index,processing_time_seconds,fps,low_threshold,high_threshold,edge_pixel_ratio
0,1.26119290,0.7929,60.68392181,121.36784363,0.04528323
1,0.01815420,55.0837,60.68392181,121.36784363,0.04528323
2,0.02049390,48.7950,60.68392181,121.36784363,0.04528323
3,0.02075780,48.1747,60.68392181,121.36784363,0.04528323
4,0.01554690,64.3215,60.68392181,121.36784363,0.04528323
5,0.01756930,56.9175,60.68392181,121.36784363,0.04528323
6,0.01609450,62.1330,60.68392181,121.36784363,0.04528323
7,0.01385590,72.1714,60.68392181,121.36784363,0.04528323
8,0.01333070,75.0148,60.68392181,121.36784363,0.04528323
9,0.01472050,67.9325,60.68392181,121.36784363,0.04528323
10,0.01641380,60.9243,60.68392181,121.36784363,0.04528323
11,0.01371560,72.9097,60.68392181,121.36784363,0.04528323
12,0.01653770,60.4679,60.68392181,121.36784363,0.04528323
13,0.01329680,75.2061,60.68392181,121.36784363,0.04528323
14,0.01497650,66.7713,60.68392181,121.36784363,0.04528323
15,0.01751300,57.1004,60.68392181,121.36784363,0.04528323
16,0.01735500,57.6203,60.68392181,121.36784363,0.04528323
17,0.01553210,64.3828,60.68392181,121.36784363,0.04528323
18,0.01473480,67.8665,60.68392181,121.36784363,0.04528323
19,0.01597840,62.5845,60.68392181,121.36784363,0.04528323
