frame_index,processing_time_seconds,fps,low_threshold,high_threshold,edge_pixel_ratio
0,0.30024150,3.3307,61.17840195,122.35680389,0.04094727
1,0.00858950,116.4212,54.95783234,109.91566467,0.04979492
2,0.00727080,137.5364,55.06761169,110.13522339,0.04949870
3,0.00771450,129.6260,55.03432465,110.06864929,0.04935547
4,0.00801700,124.7349,54.77565384,109.55130768,0.04959961
5,0.00910370,109.8454,54.80368423,109.60736847,0.04924479
6,0.00737520,135.5895,53.51185226,107.02370453,0.04952474
7,0.00711480,140.5521,52.35483170,104.70966339,0.05002279
8,0.00759450,131.6742,49.81570435,99.63140869,0.05199870
9,0.00701830,142.4846,48.31211472,96.62422943,0.05242513
10,0.01499450,66.6911,47.40281677,94.80563354,0.05249023
11,0.00800020,124.9969,47.27139282,94.54278564,0.05239583
12,0.00763230,131.0221,47.24135208,94.48270416,0.05278971
13,0.00941890,106.1695,45.64039230,91.28078461,0.05379883
14,0.00935900,106.8490,44.97168732,89.94337463,0.05461914
15,0.00766110,130.5296,44.20037079,88.40074158,0.05472005
16,0.00770090,129.8550,44.04450607,88.08901215,0.05488607
17,0.00734070,136.2268,44.34535217,88.69070435,0.05462891
18,0.00699650,142.9286,44.28034592,88.56069183,0.05461263
19,0.00710730,140.7004,44.34035492,88.68070984,0.05374349
20,0.00749110,133.4917,44.58036804,89.16073608,0.05415690
21,0.00942690,106.0794,44.35924530,88.71849060,0.05400391
22,0.00773150,129.3410,44.58625793,89.17251587,0.05408854
23,0.00877210,113.9978,44.61403275,89.22806549,0.05379557
24,0.00825000,121.2121,44.78580856,89.57161713,0.05406901
25,0.00751650,133.0406,44.72844315,89.45688629,0.05388021
26,0.01007440,99.2615,44.71213913,89.42427826,0.05356445
27,0.00945260,105.7910,44.58924866,89.17849731,0.05363607
28,0.00728670,137.2363,44.72137070,89.44274139,0.05371419
29,0.01221140,81.8907,44.57870102,89.15740204,0.05423828
30,0.00965970,103.5229,44.76300049,89.52600098,0.05387370
31,0.00846010,118.2019,44.56176376,89.12352753,0.05407552
32,0.00959460,104.2253,44.78633881,89.57267761,0.05384440
33,0.01317930,75.8766,50.02225113,100.04450226,0.05177083
34,0.01037790,96.3586,50.34583664,100.69167328,0.05153646
35,0.00774140,129.1756,50.88459778,101.76919556,0.05152669
36,0.00711450,140.5580,55.32773972,110.65547943,0.04886719
37,0.00698020,143.2624,55.82274246,111.64548492,0.04851562
38,0.00846100,118.1893,56.08535767,112.17071533,0.04900065
39,0.01126000,88.8099,58.71621704,117.43243408,0.04716797
40,0.00835500,119.6888,59.14193726,118.28387451,0.04741862
41,0.00879270,113.7307,58.84318924,117.68637848,0.04735026
42,0.00764910,130.7343,60.82317734,121.64635468,0.04548503
43,0.01065610,93.8430,61.34595108,122.69190216,0.04611003
44,0.01181900,84.6095,61.39374542,122.78749084,0.04560547
45,0.01104000,90.5797,63.90515137,127.81030273,0.04413411
46,0.00787750,126.9438,64.52680969,129.05361938,0.04361328
47,0.00935160,106.9336,64.52813721,129.05627441,0.04445964
48,0.00798220,125.2787,66.64363861,133.28727722,0.04162109
49,0.00965460,103.5776,66.61468506,133.22937012,0.04194987
50,0.00745750,134.0932,65.72950745,131.45901489,0.04259766
51,0.01170140,85.4599,66.55865479,133.11730957,0.04089844
52,0.00869250,115.0417,66.60611725,133.21223450,0.04089193
53,0.00765470,130.6387,66.26229095,132.52458191,0.04049805
54,0.01039280,96.2205,66.00551605,132.01103210,0.03971680
55,0.00955740,104.6310,65.16356659,130.32713318,0.03875000
56,0.00887530,112.6722,65.05064392,130.10128784,0.04061849
57,0.00770200,129.8364,64.74668884,129.49337769,0.03876302
58,0.00863550,115.8011,64.60988617,129.21977234,0.03866862
59,0.00747280,133.8187,64.86251068,129.72502136,0.03848307
60,0.00751780,133.0176,64.73334503,129.46669006,0.03808268
