frame_index,gpu_full_seconds,latency_seconds,low_threshold,high_threshold,edge_pixel_ratio
0,1.84516060,1.85156410,60.68391800,121.36783600,0.04528323
1,0.01444470,1.85811440,60.68391800,121.36783600,0.04528323
2,0.01054900,1.86573330,60.68391800,121.36783600,0.04528323
3,0.00921930,1.87188650,60.68391800,121.36783600,0.04528323
4,0.00931530,1.87849940,60.68391800,121.36783600,0.04528323
5,0.01430190,1.89023000,60.68391800,121.36783600,0.04528323
6,0.01410130,0.07346280,60.68391800,121.36783600,0.04528323
7,0.01355650,0.07204330,60.68391800,121.36783600,0.04528323
8,0.01386430,0.07588250,60.68391800,121.36783600,0.04528323
9,0.01081060,0.07756530,60.68391800,121.36783600,0.04528323
10,0.01029540,0.07854720,60.68391800,121.36783600,0.04528323
11,0.01461300,0.07886160,60.68391800,121.36783600,0.04528323
12,0.01160750,0.07632880,60.68391800,121.36783600,0.04528323
13,0.00977390,0.07222670,60.68391800,121.36783600,0.04528323
14,0.01103160,0.06941990,60.68391800,121.36783600,0.04528323
15,0.00956680,0.06835120,60.68391800,121.36783600,0.04528323
16,0.00957850,0.06776390,60.68391800,121.36783600,0.04528323
17,0.01038610,0.06351340,60.68391800,121.36783600,0.04528323
18,0.00957820,0.06172280,60.68391800,121.36783600,0.04528323
19,0.00990060,0.06171930,60.68391800,121.36783600,0.04528323
20,0.01089320,0.06160910,60.68391800,121.36783600,0.04528323
21,0.00954790,0.06155210,60.68391800,121.36783600,0.04528323
22,0.00981030,0.06148250,60.68391800,121.36783600,0.04528323
23,0.01057390,0.06186380,60.68391800,121.36783600,0.04528323
24,0.00994390,0.06217050,60.68391800,121.36783600,0.04528323
25,0.00947320,0.06157840,60.68391800,121.36783600,0.04528323
26,0.01020630,0.06098720,60.68391800,121.36783600,0.04528323
27,0.00980420,0.06129520,60.68391800,121.36783600,0.04528323
28,0.01033620,0.06164880,60.68391800,121.36783600,0.04528323
29,0.01042950,0.06164100,60.68391800,121.36783600,0.04528323
30,0.00987180,0.06153830,60.68391800,121.36783600,0.04528323
31,0.00966850,0.06146180,60.68391800,121.36783600,0.04528323
32,0.00982290,0.06128910,60.68391800,121.36783600,0.04528323
33,0.00984000,0.06116810,60.68391800,121.36783600,0.04528323
34,0.01024370,0.06119020,60.68391800,121.36783600,0.04528323
35,0.00965120,0.06030410,60.68391800,121.36783600,0.04528323
36,0.00968130,0.06023280,60.68391800,121.36783600,0.04528323
37,0.00945050,0.05989910,60.68391800,121.36783600,0.04528323
38,0.00992310,0.06003280,60.68391800,121.36783600,0.04528323
39,0.01088330,0.06106810,60.68391800,121.36783600,0.04528323
40,0.00976230,0.06069620,60.68391800,121.36783600,0.04528323
41,0.00976040,0.06068950,60.68391800,121.36783600,0.04528323
42,0.00956210,0.06053360,60.68391800,121.36783600,0.04528323
43,0.00995090,0.06104720,60.68391800,121.36783600,0.04528323
44,0.01128350,0.06254820,60.68391800,121.36783600,0.04528323
45,0.00995080,0.06151760,60.68391800,121.36783600,0.04528323
46,0.01041030,0.06209600,60.68391800,121.36783600,0.04528323
47,0.00951790,0.06192770,60.68391800,121.36783600,0.04528323
48,0.00949960,0.06158590,60.68391800,121.36783600,0.04528323
49,0.01010470,0.06184700,60.68391800,121.36783600,0.04528323
50,0.00965440,0.06023310,60.68391800,121.36783600,0.04528323
51,0.01032200,0.06052740,60.68391800,121.36783600,0.04528323
52,0.01042060,0.06072970,60.68391800,121.36783600,0.04528323
53,0.00926010,0.06024510,60.68391800,121.36783600,0.04528323
54,0.01035700,0.06127720,60.68391800,121.36783600,0.04528323
55,0.00934610,0.06013150,60.68391800,121.36783600,0.04528323
56,0.00961570,0.06042160,60.68391800,121.36783600,0.04528323
57,0.01053420,0.06085570,60.68391800,121.36783600,0.04528323
58,0.02401410,0.07459150,60.68391800,121.36783600,0.04528323
59,0.00943840,0.07466460,60.68391800,121.36783600,0.04528323
